city_key,city_name,province,raw_city_variants,province_variants,city_level,workbook_count,coverage_status,workbooks_missing,has_zero_width_chars,admin_status,needs_manual_review,review_reason,notes
cn_city_7000a527,枣庄,山东,枣庄;枣庄市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_53abe5c7,泰安,山东,泰安;泰安市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1203aa8f,济南,山东,济南;济南市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_8481a7f6,济宁,山东,济宁;济宁市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_47bdd969,淄博,山东,淄博;淄博市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_3d84e666,滨州,山东,滨州;滨州市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5882fc94,潍坊,山东,潍坊;潍坊市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_ed73bf12,烟台,山东,烟台;烟台市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_8c6190cc,聊城,山东,聊城;聊城市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6aa29de1,莱芜,山东,(DC)莱芜,中国,地级市,6,partial,地级市房价,no,historical_adjustment,yes,工作簿覆盖不完整；原莱芜市已并入济南，跨年份分析需单独处理。,不是所有工作簿都覆盖
cn_city_00869712,菏泽,山东,菏泽;菏泽市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_a2b3b36b,青岛,山东,青岛;青岛市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_437ddf91,临汾,山西,临汾;临汾市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6571f124,吕梁,山西,吕梁;吕梁市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_68ce6ba4,大同,山西,大同;大同市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_0d670112,太原,山西,太原;太原市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_0ab8ff0f,忻州,山西,忻州;忻州市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_53245627,晋中,山西,晋中;晋中市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1d443124,晋城,山西,晋城;晋城市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d5207eab,朔州,山西,朔州;朔州市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_a44f495a,运城,山西,运城;运城市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_78a21ea8,长治,山西,长治;长治市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_12b12502,阳泉,山西,阳泉;阳泉市,中国;山西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e288ec11,东莞,广东,东莞;东莞市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_46b8159c,中山,广东,中山;中山市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_8ca738d3,云浮,广东,云浮;云浮市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_2f2c283e,佛山,广东,佛山;佛山市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_6b188aa2,广州,广东,广州;广州市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_d0a3882b,惠州,广东,惠州;惠州市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_af317821,揭阳,广东,揭阳;揭阳市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_af52cc2b,梅州,广东,梅州;梅州市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_dd0337a7,汕头,广东,汕头;汕头市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_53160e65,汕尾,广东,汕尾;汕尾市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5647fece,江门,广东,江门;江门市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_f49ad788,河源,广东,河源;河源市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_13efdd84,深圳,广东,深圳;深圳市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c426659f,清远,广东,清远;清远市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_ca604a6d,湛江,广东,湛江;湛江市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c5f95ab5,潮州,广东,潮州;潮州市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c2a1e131,珠海,广东,珠海;珠海市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_380666ad,肇庆,广东,肇庆;肇庆市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_c746668d,茂名,广东,茂名;茂名市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_288b8dac,阳江,广东,阳江;阳江市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_71c0f1a6,韶关,广东,韶关;韶关市,中国;广东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_1e72cd41,北海,广西,北海;北海市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5f4c256d,南宁,广西,南宁;南宁市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_3087e292,崇左,广西,崇左;崇左市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_e28a1acc,来宾,广西,来宾;来宾市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_14a03d46,柳州,广西,柳州;柳州市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_f3ecf709,桂林,广西,桂林;桂林市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_abf687e2,梧州,广西,梧州;梧州市,中国;广西,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
